Family,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Synechococcaceae,135,67,0,153,60,355,447,232,237,263,139,94,31,24,60,49,786,21,317,62,58,647,134,172,78,172,628,71,0,151,336
Aphanothecaceae,106,62,0,66,81,43,37,18,338,403,75,0,31,28,20,18,300,32,16,0,19,126,48,320,97,19,79,69,0,74,29
Geminocystaceae,85,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,25,12,16,0,0,11,0,0,0
Chroococcaceae,77,27,0,18,23,34,41,39,144,81,56,0,0,12,0,16,119,0,28,0,29,90,29,95,37,14,232,38,0,39,30
Microcystaceae,51,0,0,0,0,0,0,16,28,54,20,0,0,0,0,0,48,0,0,0,0,25,0,42,0,0,132,18,0,0,0
Microcoleaceae,117,42,0,30,16,15,20,21,98,161,48,0,0,0,16,10,147,0,48,15,13,58,16,135,71,15,94,36,0,45,0
Oscillatoriaceae,46,22,0,0,19,0,30,20,72,92,60,0,0,0,12,0,147,0,0,0,13,108,33,94,17,12,87,19,0,15,27
Coleofasciculaceae,35,0,0,17,0,11,29,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,18,32,29,0,0,45,0
Leptolyngbyaceae,126,29,0,16,30,25,90,25,132,121,69,0,0,10,11,0,149,18,0,0,27,45,32,174,30,20,120,44,0,30,48
Pseudanabaenaceae,24,0,0,50,0,0,11,0,23,47,15,0,0,0,0,0,27,0,0,0,0,15,0,64,0,21,46,0,0,13,0
Thermostichaceae,205,36,0,0,24,0,0,0,196,258,54,0,12,0,0,0,155,0,0,0,0,68,16,239,14,0,0,0,0,16,0
Dermocarpellaceae,129,23,0,0,20,12,0,14,105,161,27,0,0,0,0,0,96,0,0,0,0,35,14,148,73,0,17,28,0,28,0
Chroococcidiopsidaceae,19,52,0,43,39,32,0,23,276,395,53,0,0,32,0,0,243,0,0,0,0,74,29,269,34,18,19,31,0,52,0
Deinococcaceae,428,77,0,155,49,145,644,239,327,118,107,284,22,30,70,43,641,1545,698,235,23,652,124,91,52,541,396,60,24,500,248
Thermaceae,84,14,0,30,22,168,100,169,116,138,106,184,10,0,31,10,491,13,197,85,0,386,50,19,22,110,217,17,183,128,181
Trueperaceae,241,0,0,0,0,156,0,41,0,0,0,0,0,0,0,0,82,0,146,10,0,123,21,0,0,17,11,0,0,0,13
Chloroflexaceae,62,10,0,0,0,15,10,0,0,28,0,0,0,0,0,0,64,0,0,52,0,66,0,0,0,34,46,0,0,83,0
Roseiflexaceae,10,0,0,48,0,65,66,63,64,0,0,13,0,0,0,0,22,0,0,0,0,22,12,0,0,0,52,0,0,19,25
Caldilineaceae,56,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,45,0,0,53,0,37,0,0,0,42,42,0,0,78,0
Ardenticatenaceae,14,0,0,0,0,0,0,10,36,25,13,0,0,0,0,0,61,0,31,0,0,38,0,0,0,17,44,0,0,37,0
Enterobacteriaceae,3876,86413,12,5026,12894,1648,93665,2346,33476,3441,10142,2446,198240,514,4113,486,5526,328,5759,3484,23679,27090,208906,39385,172560,2480,317683,17258,241,3452,1939
Erwiniaceae,2053,397,0,478,397,320,629,292,2114,2347,696,91,206,166,148,147,2087,72,321,304,294,868,361,1975,277,318,1419,375,29,729,374
Morganellaceae,1071,246,0,2621958,29380,1164,276,215,1217,1375,656,103,212,100,102,242,1339,47,258,2234634,1321,472,272,1933,221,256,1566,358,0,567,329
Yersiniaceae,788,168,0,527,152,299,616,203,790,493,400,410,107,54,111,85,1010,71,435,551,288,554,220,644,232,456,1957,197,16,422,294
Pectobacteriaceae,215,88,0,192,41,197,216,134,205,179,198,65,47,17,62,36,333,46,198,150,100,320,146,205,84,190,850,126,0,163,147
Hafniaceae,111,21,0,55,0,25,102,42,111,54,48,27,14,0,16,0,81,0,184,57,23,76,39,54,28,65,326,32,0,160,66
Bruguierivoracaceae,61,0,0,47,0,125,24,0,54,45,20,16,12,0,0,0,138,0,0,73,0,131,22,0,49,30,85,13,0,110,186
Budviciaceae,47,0,0,20,13,12,23,0,61,44,39,0,11,0,0,0,55,0,0,41,35,33,13,58,0,18,144,25,0,42,23
Pseudomonadaceae,2573,685,49,1052,449,3494,7416,2175,2948,1205,1341,3030,224,268,781,437,4095,1345,6347,6674,714,3657,1372,993,3337,4891,7063,504,343,3510,7472
Marinobacteraceae,32,11,0,15,17,130,196,22,24,494,59,23,0,12,45,16,202,28,102,29,30,185,63,353,22,36,872,49,0,42,118
Shewanellaceae,909,226,0,341,188,211,611,309,1193,1390,473,114,133,104,138,108,1348,62,198,161,271,737,313,1275,304,312,1587,260,0,560,326
Alteromonadaceae,495,92,0,140,70,256,157,147,423,494,263,45,48,36,50,95,481,14,60,37,130,296,155,449,96,65,634,117,0,181,92
Psychromonadaceae,334,90,0,25,59,13,0,25,413,457,103,0,29,18,0,0,317,0,18,0,23,119,32,352,0,27,17,52,0,95,15
Pseudoalteromonadaceae,181,62,0,59,48,95,120,99,322,244,264,32,77,30,47,85,448,27,104,35,254,421,253,451,103,50,916,151,0,171,131
Colwelliaceae,164,29,0,82,30,46,63,19,82,112,74,0,27,0,19,42,113,0,59,14,81,48,78,182,115,18,485,40,0,45,37
Ferrimonadaceae,46,12,0,26,0,0,45,13,11,0,18,0,0,0,0,0,49,0,0,58,0,47,18,0,0,50,20,0,0,68,0
Idiomarinaceae,19,0,0,40,12,0,43,0,15,47,19,0,0,0,0,0,12,0,0,13,0,11,17,17,12,0,188,15,0,0,0
Moritellaceae,16,0,0,0,0,11,13,34,14,0,29,0,13,0,0,23,12,0,11,0,67,0,19,30,36,0,46,10,0,0,32
Vibrionaceae,1913,364,0,450,356,617,690,440,1386,1806,910,254,283,133,187,238,1849,72,300,512,808,956,669,1852,272,326,2585,528,19,840,590
Pasteurellaceae,1824,431,0,382,310,410,5892,386,3165,2702,4908,234,2578,139,123,2120,1867,48,327,130,11641,912,537,10023,313,209,14713,512,105,725,298
Francisellaceae,1104,214,0,74,131,161,60,103,914,1365,267,16,64,60,44,49,795,17,124,100,66,291,144,1051,79,70,240,215,0,235,65
Piscirickettsiaceae,322,45,0,17,40,81,59,89,270,301,130,11,23,15,11,23,255,0,94,33,45,188,47,261,49,24,842,64,0,48,60
Thiotrichaceae,48,24,0,13,19,223,154,20,128,138,42,11,11,13,0,13,140,0,0,28,0,48,29,132,12,21,487,21,0,71,63
Legionellaceae,1007,202,0,88,159,111,76,152,1232,1239,291,26,64,61,42,56,965,31,157,24,79,330,127,1146,158,72,816,183,0,258,102
Coxiellaceae,133,19,0,11,17,89,13,70,91,103,80,0,15,0,0,27,222,0,0,0,102,805,44,156,0,0,611,13,0,19,57
Xanthomonadaceae,889,350,14,437,143,1122,2815,1053,1211,201,400,1786,69,123,286,101,1629,646,3937,667,125,1713,535,96,257,1874,2032,152,216,1193,2444
Rhodanobacteraceae,194,63,0,156,38,714,834,283,181,50,114,328,21,33,62,31,699,124,1231,295,46,844,148,28,57,297,537,38,13,338,760
Halomonadaceae,483,172,0,273,123,1833,875,268,702,557,280,354,44,74,117,66,1101,163,1101,328,89,845,203,483,240,693,1836,143,19,811,760
Oceanospirillaceae,287,88,0,116,82,156,372,75,439,452,177,33,43,38,49,39,503,48,102,52,64,210,99,470,67,104,642,121,0,165,75
Alcanivoracaceae,48,22,0,0,0,0,85,0,56,50,30,0,0,0,17,0,37,10,104,0,0,25,13,36,16,18,140,0,0,24,39
