Family,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Helicobacteraceae,450,112,0,100,127,300,96,500,540,5344,185,45,13158,22336,113792,14137,717,44930,633,183,51575,419,6277,630,179,91,3284,361093,13,912,347
Sulfurovaceae,16,12,0,67,12,29,195,0,12,20,38,0,0,0,12,0,120,0,0,0,11,100,19,35,54,0,49,44,0,10,16
Nitratiruptoraceae,424,125,0,32,113,36,16,35,753,916,156,10,55,33,39,0,624,0,19,12,31,191,52,662,33,14,60,72,0,104,10
Nautiliaceae,287,73,0,22,72,16,0,39,628,603,159,0,21,40,22,11,455,0,18,0,20,152,50,502,74,15,38,67,0,89,0
Archangiaceae,184,43,0,96,23,109,386,80,134,59,59,127,0,23,49,20,258,48,876,172,12,244,69,0,21,222,135,22,0,405,492
Myxococcaceae,142,61,0,180,42,124,399,163,203,38,79,134,0,11,35,27,177,85,1082,128,27,152,83,0,29,264,323,29,0,217,518
Anaeromyxobacteraceae,14,52,0,131,35,363,212,314,192,57,38,252,26,25,32,28,458,46,756,0,31,470,79,24,43,396,199,24,0,55,553
Polyangiaceae,130,67,0,52,16,95,160,134,236,37,66,365,14,15,51,17,138,90,1695,99,25,181,72,29,44,294,255,34,0,216,510
Sandaracinaceae,74,14,0,0,0,140,36,164,19,13,30,146,0,0,16,0,124,24,508,0,11,202,100,0,16,215,55,10,0,96,108
Kofleriaceae,12,0,0,0,0,84,0,28,33,20,0,57,0,0,0,0,38,17,256,13,0,27,16,0,0,125,41,0,0,16,0
Geobacteraceae,262,97,0,280,71,819,601,441,251,169,169,95,26,37,106,39,1174,45,346,215,57,1246,166,57,132,212,588,72,0,338,428
Desulfuromonadaceae,33,21,0,162,36,267,299,84,105,34,61,18,0,13,26,24,103,12,51,21,0,90,54,19,54,33,218,10,0,48,73
Syntrophotaleaceae,25,0,0,0,0,63,19,14,0,0,23,11,0,0,11,0,31,0,0,0,0,24,0,15,0,13,156,0,0,23,0
Desulfovibrionaceae,226,60,0,239,183,543,4487,571,912,315,1658,150,713,37,227,1818,980,54,614,114,4616,986,163,93,6077,242,4923,133,10,272,685
Desulfohalobiaceae,17,12,0,0,0,16,0,16,41,45,0,0,0,0,0,0,76,0,0,0,0,55,0,37,10,0,32,0,0,14,0
Desulfobulbaceae,100,31,0,30,26,11,63,23,134,146,60,0,10,0,0,22,163,0,51,0,0,95,25,100,93,0,645,25,0,24,147
Desulfobacteraceae,86,70,0,198,82,274,317,141,341,399,205,87,29,18,61,42,569,12,36,0,37,323,84,303,224,76,508,97,0,100,246
Desulfocapsaceae,25,0,0,0,0,40,23,83,16,73,34,12,0,0,12,0,117,0,15,0,0,25,0,16,25,0,134,16,0,0,45
Desulfarculaceae,95,0,0,0,0,0,0,0,0,12,0,38,0,0,0,0,45,0,122,22,0,26,0,0,0,54,49,0,0,29,0
Candidatus Desulfofervidaceae,67,16,0,0,13,13,0,0,67,124,13,0,0,0,0,0,71,0,0,0,0,34,0,85,20,0,0,22,0,0,0
Syntrophaceae,50,0,0,64,12,0,24,13,38,71,21,0,0,0,11,0,68,0,0,0,0,30,0,46,23,0,72,21,0,0,15
Syntrophobacteraceae,21,0,0,10,12,103,16,0,17,0,19,12,0,0,12,0,38,14,60,17,0,27,18,0,12,19,106,0,0,24,35
Rhizobiaceae,1160,292,27,1086,294,1345,2640,879,813,544,663,987,100,98,421,163,2248,2068,2826,840,140,2156,567,605,314,1497,2076,345,91,1466,3120
Nitrobacteraceae,848,304,60,378,160,598,1487,752,1078,243,705,791,46,77,279,84,854,2102,2601,349,276,943,417,231,206,851,1155,155,479,879,1536
Phyllobacteriaceae,563,190,0,165,106,540,1093,493,548,128,270,551,31,56,242,62,707,726,1910,250,80,642,245,134,185,545,1174,105,40,519,1279
Methylobacteriaceae,382,149,276,161,74,551,673,479,553,343,160,644,67,41,88,43,778,42648,2296,252,71,736,247,307,117,576,527,52,179,591,1135
Hyphomicrobiaceae,123,31,0,32,26,96,255,67,107,151,102,235,12,16,35,14,231,189,582,73,17,159,44,65,31,128,120,34,13,66,311
Bartonellaceae,115,30,0,92,29,112,56,53,183,180,87,24,16,10,26,35,127,0,119,0,26,105,72,258,27,26,275,72,0,64,54
Methylocystaceae,113,16,0,93,14,90,219,49,75,10,30,64,0,10,12,12,196,122,318,92,11,101,25,20,20,129,181,11,0,148,214
Devosiaceae,100,43,0,50,32,138,295,56,138,75,81,64,12,17,40,18,132,151,215,82,21,129,50,46,81,215,180,31,16,196,476
Brucellaceae,180,30,0,25,15,38,87,22,188,111,72,17,0,14,32,0,345,58,56,51,22,355,30,135,19,73,198,32,0,127,112
Xanthobacteraceae,65,64,0,67,0,82,432,110,156,87,60,106,11,14,46,18,189,544,698,55,0,220,52,18,84,276,252,29,16,102,349
Aurantimonadaceae,58,54,0,78,28,566,331,366,76,53,58,273,14,18,34,24,497,270,382,89,10,756,114,38,22,154,369,27,13,111,351
Pleomorphomonadaceae,42,0,0,0,0,0,27,0,32,0,0,0,0,0,0,0,13,21,0,65,0,27,0,0,0,29,0,0,0,50,13
Boseaceae,38,20,0,21,11,50,211,83,75,18,35,78,0,0,14,0,39,488,692,33,10,59,34,24,20,191,105,0,18,62,223
Phreatobacteraceae,38,0,0,0,0,0,267,14,22,16,29,49,0,0,16,0,78,131,280,48,0,42,43,0,0,54,93,0,0,141,18
Stappiaceae,53,27,0,48,19,32,526,42,104,71,88,56,0,0,45,14,103,125,249,0,24,52,43,30,82,33,305,34,0,30,102
Parvibaculaceae,36,0,0,51,14,0,22,0,37,0,18,0,0,0,12,0,19,47,144,31,0,29,24,0,0,44,63,11,0,47,14
Breoghaniaceae,26,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,23,69,0,0,0,0,0,0,22,142,0,0,0,22
Amorphaceae,20,0,0,0,0,0,0,16,32,0,0,22,0,0,0,0,44,28,94,72,0,54,0,0,0,55,17,0,0,77,10
Beijerinckiaceae,18,0,0,76,13,128,91,105,0,11,21,13,0,0,0,0,140,78,71,19,0,156,21,0,0,29,53,10,0,51,291
Chelatococcaceae,13,0,0,49,0,0,46,30,22,0,32,50,0,0,0,0,0,114,189,14,0,0,22,0,22,28,34,0,0,14,62
Blastochloridaceae,11,0,0,0,0,0,100,24,0,0,0,0,0,0,0,0,10,67,60,0,0,10,0,0,0,22,24,0,0,26,164
Anaplasmataceae,938,106,0,51,70,121,51,78,456,528,134,25,44,28,21,30,409,14,72,75,54,185,90,521,110,70,264,106,0,187,73
Rickettsiaceae,363,71,0,35,80,78,28,40,422,481,116,15,24,42,20,36,330,0,56,12,25,107,67,567,29,26,186,73,0,82,46
Sphingomonadaceae,863,344,103,656,233,1385,2479,982,1114,361,583,1365,109,108,358,146,2007,34301,5308,514,163,2129,568,224,417,1700,1933,196,304,1317,2617
Erythrobacteraceae,117,66,10,145,50,386,326,302,330,108,111,104,16,31,60,35,503,883,765,80,61,597,85,64,143,192,629,45,25,219,831
Sphingosinicellaceae,12,23,0,31,13,69,46,53,106,11,16,23,0,0,0,0,17,275,364,0,0,19,27,0,0,27,61,0,0,17,241
Rhodobacteraceae,452,219,12,284,134,695,1634,630,809,399,360,914,48,80,217,82,890,719,2491,238,59,782,316,261,206,942,1087,126,161,546,1196
Roseobacteraceae,238,171,0,303,100,628,1355,529,576,144,250,701,38,42,194,61,727,326,1306,197,77,720,345,152,235,469,1421,125,27,431,1264
Pelagibacteraceae,592,79,0,26,47,75,30,51,347,522,138,10,0,23,12,36,333,0,79,0,23,118,47,442,41,38,131,76,0,104,72
Acetobacteraceae,278,143,0,221,83,276,823,235,352,440,256,220,46,41,135,62,667,957,1043,276,67,658,220,193,222,605,764,104,168,482,934
Azospirillaceae,102,97,0,102,45,309,400,482,276,73,129,836,31,30,81,20,463,447,1179,76,41,467,188,32,107,636,552,44,70,252,866
Rhodospirillaceae,98,64,0,61,30,138,181,229,306,42,85,197,16,18,45,11,263,193,448,155,20,273,69,27,63,284,242,36,0,144,585
Thalassobaculaceae,59,0,0,16,0,0,26,0,11,0,0,11,0,0,0,0,39,0,0,48,0,46,0,0,0,56,46,0,0,92,90
Caulobacteraceae,255,128,37,276,75,282,778,489,306,81,146,535,17,44,98,35,611,817,1610,182,44,648,205,65,100,602,630,73,75,416,488
Holosporaceae,47,10,0,0,0,0,0,0,81,43,10,0,0,0,0,0,31,0,0,0,0,13,0,79,0,10,23,16,0,15,12
Candidatus Paracaedibacteraceae,31,14,0,16,0,16,0,15,34,39,10,0,0,0,0,0,33,0,0,0,0,26,20,38,0,0,0,18,0,30,12
Sneathiellaceae,21,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,37,0,0,36,0
Burkholderiaceae,1479,649,0,995,411,1618,4068,1516,2201,953,1036,2879,153,226,798,264,2547,1211,7882,750,224,2109,1292,827,638,2319,5284,531,103,1760,4742
Comamonadaceae,1117,431,89,491,292,1456,2966,1643,1807,782,976,2208,112,176,717,186,2137,2562,5098,687,186,1470,1152,551,382,2073,4909,384,248,1515,3031
Alcaligenaceae,827,255,0,234,155,1609,1634,793,1010,569,444,1028,70,104,466,70,1342,457,3130,390,93,1054,404,408,413,1225,2820,171,67,953,2342
Oxalobacteraceae,576,288,0,268,171,378,1499,479,837,272,496,1051,47,99,283,83,1020,638,3131,337,67,963,551,197,277,1279,3491,196,102,764,1229
Sutterellaceae,36,17,0,163,398,46,381,30,41,42,1437,316,28,25,1825,101,47,18,128,19,75,117,2472,200,231,60,245,584,0,172,113
Neisseriaceae,585,130,0,289,159,153,787,281,608,849,329,215,81,453,96,71,935,124,404,289,119,639,186,553,210,356,379041,167,336,380,227
Chromobacteriaceae,441,66,0,121,80,213,642,129,315,470,211,183,27,42,97,42,419,90,314,140,49,320,188,312,124,255,4085,69,0,271,329
Casimicrobiaceae,46,0,0,0,0,0,87,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0
Methylophilaceae,182,15,0,23,14,120,42,44,45,56,60,0,13,0,26,17,146,0,113,0,19,147,50,77,36,20,1018,67,0,30,32
Sterolibacteriaceae,225,0,0,0,0,25,58,0,65,0,45,46,0,0,28,0,113,21,125,166,0,157,50,0,18,166,273,0,0,276,162
Gallionellaceae,22,10,0,38,13,28,79,16,27,23,29,21,0,0,21,0,22,0,24,0,0,21,26,14,32,12,701,10,0,0,10
Nitrosomonadaceae,23,0,0,0,10,17,37,0,34,88,35,0,0,0,15,13,158,0,27,0,14,111,21,40,40,10,671,24,0,24,47
Sulfuricellaceae,14,17,0,0,0,0,31,25,22,0,40,16,0,0,16,0,18,0,84,0,0,11,19,0,37,15,562,21,0,0,49
Zoogloeaceae,280,74,0,42,49,165,246,205,214,59,153,250,0,31,118,34,512,109,925,159,24,523,142,37,75,304,617,73,0,444,311
Azonexaceae,30,15,0,75,21,37,146,116,71,13,97,29,0,0,19,0,115,17,209,28,0,199,39,0,61,31,270,15,0,48,21
Rhodocyclaceae,24,49,0,32,22,29,115,67,214,40,66,79,0,10,50,13,213,50,575,23,18,197,82,0,38,101,663,26,0,31,57
Silvanigrellaceae,280,0,0,0,0,10,0,0,283,61,38,0,0,0,0,0,63,0,10,13,0,33,22,42,17,0,58,26,0,11,14
Bdellovibrionaceae,216,49,0,14,36,14,17,20,266,355,89,0,13,19,0,0,200,0,12,0,18,66,32,301,13,0,84,53,0,59,31
Halobacteriovoraceae,157,49,0,12,31,39,11,24,240,260,63,0,12,14,13,0,193,0,37,0,13,34,30,255,168,0,0,50,0,48,23
Bacteriovoracaceae,35,14,0,12,0,21,19,14,49,50,17,0,0,0,28,0,41,0,14,0,0,23,12,87,0,11,58,25,0,35,0
Acidithiobacillaceae,97,0,0,37,12,22,65,0,15,19,16,0,0,0,16,0,35,0,14,0,0,18,0,0,0,19,71,0,0,16,99
Mariprofundaceae,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,23,0,0,0,0
Fusobacteriaceae,17460,4739,0,1457,3270,1841,3605,2379,27543,17472,5570,608,1431,3044,901,6922,12094,594,1338,312,3374,4343,6231,19052,2396,814,39398,35558,54,4614,2378
Leptotrichiaceae,5795,1362,0,409,1210,456,783,902,8586,8892,2428,122,413,433,158,207,8275,88,345,133,470,2515,907,7909,808,447,1469,1625,88,1482,538
Flavobacteriaceae,9026,2357,0,1815,1863,3681,3005,2415,10831,14324,4813,523,858,786,534,1210,11551,479,1381,387,978,6685,2090,12596,2138,904,8054,2554,256,2930,1971
Weeksellaceae,4465,787,11,3211,925,1654,1466,2147,4519,4551,2016,194,307,269,208,833,4695,191,477,227,396,2555,717,4077,764,232,3745,1089,82,1115,1183
Blattabacteriaceae,725,300,0,150,223,187,83,256,1659,2089,461,54,107,101,38,56,1557,19,126,42,92,816,190,1778,205,100,378,229,0,383,105
Crocinitomicaceae,116,0,0,0,24,32,47,21,56,56,23,0,0,0,0,0,46,0,0,0,0,68,14,72,0,0,64,38,0,13,19
Bacteroidaceae,1266,20142,0,5387,19514,135110,185048,2554,58465,10673,223976,47145,44642,36959,88292,73857,5570,9503,4765,665600,288687,15126,211691,163703,350849,159557,257957,173534,809,923665,1866367
Prevotellaceae,944,765,0,5722,23835,7548,7454,4457,702,864,5389,363,450,169,281,1862,8292,66,213,449,920,11839,894,2260,743,342,12765,553,98,1836,3304
Odoribacteraceae,302,57,0,379,21062,327,819,122,423,241,14822,89,81,104,84,2215,377,17,230,472,620,287,198,283,1018,56,2121,97,13,382,1679
Paludibacteraceae,150,0,0,0,0,10,39,0,18,0,83,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,351,0,0,0,13
Tannerellaceae,121,2130,0,2587,11870,31076,47333,1757,6574,227,15195,6252,1184,2106,6346,3971,4261,794,319,1587,3760,7072,1462,2321,86548,307,18099,7659,107,44021,64585
Dysgonomonadaceae,60,53,0,555,129,640,551,343,199,151,345,28,44,22,23,73,819,0,14,19,41,960,83,157,35,18,1681,48,0,36,235
Muribaculaceae,22,71,0,1115,179,1757,1032,766,59,63,310,283,63,36,30,128,1775,14,30,36,105,2211,242,86,100,49,1220,39,0,102,768
Rikenellaceae,18,147,0,2366,2567,4583,14333,2938,2333,135,13833,11901,963,768,131,982,6009,175,287,1377,2581,7317,792,327,6904,331,6629,78,19,784,4481
Marinilabiliaceae,398,83,0,89,90,142,95,62,492,639,182,0,32,37,13,32,511,0,23,0,33,223,43,407,49,15,175,31,0,91,33
Prolixibacteraceae,81,35,0,27,21,36,97,23,144,110,123,15,11,0,12,28,90,0,13,0,30,60,42,192,88,16,405,53,0,59,25
Marinifilaceae,24,22,0,0,22,0,11,0,59,62,54,0,0,0,0,0,46,0,15,0,15,28,0,90,0,0,40,14,0,0,0
Cyclobacteriaceae,342,61,0,258,88,710,432,239,133,246,200,32,39,21,37,59,519,0,63,16,69,496,152,191,117,26,653,114,0,56,194
Hymenobacteraceae,312,183,0,1639,331,1345,2559,842,732,782,478,404,82,85,92,208,1960,922,504,229,108,1974,278,478,173,391,1189,106,77,364,875
Flammeovirgaceae,253,40,0,16,30,86,51,38,168,185,105,0,14,0,11,39,146,0,50,13,17,62,27,257,21,29,303,79,0,109,40
Cytophagaceae,219,65,0,261,53,325,682,193,88,132,213,79,20,20,42,60,464,207,35,21,57,531,97,163,75,43,602,79,13,82,135
Spirosomaceae,198,55,0,376,78,351,416,421,91,154,181,61,26,12,28,74,563,23,80,57,40,549,46,208,73,96,706,70,0,155,134
Fulvivirgaceae,193,13,0,161,31,206,173,120,348,35,80,23,28,0,16,52,334,0,11,32,17,192,46,130,0,30,200,38,0,32,120
Marivirgaceae,59,43,0,121,47,0,0,122,231,304,84,0,32,12,0,0,449,0,16,0,27,415,29,310,16,18,0,43,0,53,42
Bernardetiaceae,16,15,0,0,20,15,11,10,66,64,27,0,0,0,0,0,40,0,12,0,0,18,0,142,0,0,53,0,0,12,0
Sphingobacteriaceae,761,317,0,429,325,1151,999,530,1021,1279,1072,128,150,82,138,227,1978,46,124,63,239,1443,392,1316,318,115,2622,427,29,389,292
Chitinophagaceae,481,175,0,441,189,671,609,583,626,805,485,319,56,51,80,103,1394,24,83,51,92,1216,224,731,131,76,1433,187,0,232,257
Chlorobiaceae,62,37,0,119,33,150,151,88,81,19,52,16,0,13,12,18,324,0,47,47,23,421,62,25,32,34,356,25,0,76,233
Ignavibacteriaceae,38,26,0,10,30,10,0,11,155,186,39,0,0,0,0,0,152,0,0,0,0,32,12,157,0,0,32,20,0,30,14
Gemmatimonadaceae,16,19,0,126,19,65,185,36,76,27,17,60,0,0,0,14,85,20,273,0,0,118,0,15,20,73,60,12,0,32,166
Treponemataceae,2096,389,0,464,426,385,761,399,1868,2817,950,97,177,102,180,161,2407,25,157,90,231,1026,373,1940,269,191,3682,659,27,573,556
Borreliaceae,779,99,0,126,62,126,86,69,475,502,160,29,43,35,12,33,371,0,82,25,41,180,104,572,47,58,190,135,0,181,96
Sphaerochaetaceae,51,18,0,25,0,15,48,24,142,49,35,0,0,0,29,11,96,0,50,0,0,52,26,122,0,0,43,43,0,25,21
Spirochaetaceae,43,16,0,181,29,52,181,46,74,85,53,17,15,11,0,27,313,0,64,0,17,276,57,87,21,14,120,57,0,38,41
Brachyspiraceae,1231,307,0,93,288,154,49,166,1745,2213,383,36,93,113,51,59,1472,15,104,33,77,437,238,1793,154,85,422,303,0,380,83
Leptospiraceae,96,58,0,38,51,112,66,63,272,248,119,15,21,25,23,27,426,13,36,0,50,321,58,323,58,21,134,91,0,69,82
Petrotogaceae,1581,281,0,69,241,97,35,116,1518,1908,450,28,87,104,10,31,1359,13,86,40,70,414,110,1540,132,64,97,161,0,287,38
Fervidobacteriaceae,1127,246,0,107,230,72,36,110,1292,1905,336,15,78,106,31,28,1242,24,116,38,61,351,136,1552,118,51,85,210,0,269,65
Thermotogaceae,15,33,0,17,40,62,18,51,204,279,67,0,13,11,10,0,231,0,23,0,20,106,25,252,35,0,104,71,0,70,57
Mesoaciditogaceae,500,46,0,17,49,0,0,40,273,363,68,0,16,32,0,0,259,0,10,0,0,74,29,253,0,11,0,41,0,42,0
Kosmotogaceae,424,107,0,41,101,52,24,24,626,778,149,0,37,37,0,0,590,0,20,18,25,219,61,534,30,18,75,58,0,97,17
Hydrogenothermaceae,747,76,0,23,72,17,0,47,538,550,111,0,25,37,0,0,425,0,29,16,13,122,37,511,44,16,33,51,0,108,0
Aquificaceae,17,48,0,17,43,54,42,61,243,273,48,15,18,19,0,18,228,0,17,0,12,69,21,204,54,15,61,46,0,62,33
Desulfurobacteriaceae,72,15,0,0,21,20,0,0,113,114,50,0,0,0,0,0,99,0,0,0,10,35,15,95,29,0,17,18,0,14,0
Planctomycetaceae,145,37,0,228,58,333,342,175,84,145,92,89,17,20,49,33,424,45,210,69,36,416,135,85,41,83,404,66,0,164,169
Pirellulaceae,58,39,0,136,43,98,459,40,61,36,58,44,21,0,33,26,272,17,36,30,23,318,38,17,29,43,193,27,0,49,102
Gemmataceae,59,23,0,67,30,57,162,149,44,0,35,248,0,0,29,14,54,64,409,45,0,64,20,15,17,115,119,11,0,63,92
Isosphaeraceae,50,36,0,145,19,86,150,107,85,34,26,114,13,16,26,16,253,29,264,45,13,309,38,0,20,125,80,13,0,131,300
Sedimentisphaeraceae,22,43,0,14,31,0,29,25,197,218,55,0,11,11,0,0,144,0,0,0,0,48,22,201,0,0,43,40,0,38,0
Candidatus Uabimicrobiaceae,18,0,0,0,0,0,0,12,27,24,16,0,0,0,0,0,35,0,0,0,0,19,0,45,0,0,19,13,0,14,11
Parachlamydiaceae,130,20,0,45,28,0,29,10,169,172,42,0,0,0,0,0,113,0,0,0,0,42,13,206,0,0,21,32,0,16,0
Simkaniaceae,13,0,0,0,0,45,0,18,17,14,0,0,0,0,0,0,51,0,0,0,0,57,0,16,0,0,27,0,0,18,23
Chlamydiaceae,11,24,0,17,17,111,27,34,57,87,33,0,0,0,0,0,59,28,22,0,13,20,21,113,11,0,58,23,0,13,53
Verrucomicrobiaceae,42,10,0,231,27,382,250,98,32,19,34,29,12,0,24,22,307,0,139,0,28,389,45,22,11,41,103,11,0,66,120
Akkermansiaceae,38,58,0,34,49,32,177,48,23,291,95,17,12,24,16,13,358,0,10,0,27,173,42,30,30,59,271,79,0,108,275
Opitutaceae,47,10,0,48,10,89,156,84,70,0,22,63,0,0,13,13,125,18,187,26,13,153,34,15,45,70,204,20,0,78,163
Tichowtungiaceae,25,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,43,0,0,14,0,56,0,0,0,0,0,0,0,11,0
Flexistipitaceae,249,44,0,10,27,0,0,16,201,274,46,0,0,14,0,0,175,0,0,0,0,37,14,213,0,0,30,42,0,47,0
Mucispirillaceae,104,17,0,19,0,30,16,15,62,61,18,0,0,0,0,0,72,0,28,0,0,38,12,77,0,0,27,24,0,51,31
Deferribacteraceae,97,13,0,16,10,38,0,15,104,131,41,0,0,0,0,0,67,0,16,0,0,37,16,175,0,0,32,12,0,0,0
Calditerrivibrionaceae,41,45,0,0,35,0,0,11,0,302,65,0,0,14,0,0,189,0,34,0,0,52,13,268,0,12,0,0,0,0,0
Geovibrionaceae,13,0,0,0,0,36,0,54,29,21,19,0,0,0,0,0,92,0,0,0,0,104,11,33,16,0,37,16,0,0,25
Dictyoglomaceae,320,27,0,12,32,54,0,15,137,218,56,0,18,10,0,0,163,0,24,0,29,43,34,195,43,0,88,39,0,31,0
Thermodesulfobacteriaceae,314,84,0,62,63,75,43,49,509,544,84,14,23,13,20,28,421,0,51,15,32,150,44,308,74,42,120,96,0,172,125
Dissulfurispiraceae,114,0,0,0,0,21,0,0,0,0,18,0,0,0,0,0,13,0,10,0,0,24,0,20,39,0,12,0,0,0,0
Thermodesulfovibrionaceae,30,24,0,15,23,17,0,0,164,169,28,0,0,14,0,0,97,0,0,0,0,35,18,146,14,0,77,29,0,14,0
Synergistaceae,138,88,0,203,97,310,217,140,521,570,181,39,36,35,47,31,719,10,245,19,32,496,89,421,75,46,10233,71,0,89,195
Acidobacteriaceae,68,21,0,93,31,479,159,200,100,80,68,42,13,0,21,16,356,16,292,55,23,324,37,48,33,77,177,19,99,118,225
Bryobacteraceae,24,0,0,0,0,16,14,13,0,10,0,18,0,0,0,0,83,0,0,16,0,56,0,0,0,51,16,0,0,37,43
Acanthopleuribacteraceae,18,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,64,17,0,0,0,10,0,11,12,0,0,0,0
Candidatus Babeliaceae,24,0,0,0,0,0,0,0,20,27,0,0,0,0,0,0,25,0,0,0,0,0,0,53,0,0,0,0,0,0,0
Candidatus Chromulinivoraceae,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Absconditicoccaceae,37,52,0,18,30,13,0,21,253,325,37,0,19,21,0,0,248,0,0,0,0,72,24,216,20,0,11,38,0,62,15
Candidatus Nanosynbacteraceae,16,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,80,0,0,0,14
Elusimicrobiaceae,52,33,0,11,22,0,0,11,129,177,30,0,0,11,0,0,117,0,0,0,0,37,0,105,0,0,79,11,0,24,0
Endomicrobiaceae,26,0,0,0,12,22,0,0,35,22,21,0,0,0,0,0,21,0,0,0,0,12,14,52,58,0,50,19,0,11,14
Atribacteraceae,21,0,0,0,14,14,0,0,90,31,15,0,0,0,0,0,27,0,0,0,0,12,10,69,35,0,0,0,0,25,19
Haloarculaceae,381,38,0,130,30,119,303,101,149,30,49,378,15,18,31,21,268,61,1242,334,18,257,88,18,40,646,231,29,11,561,490
Halobacteriaceae,94,40,0,107,27,48,176,236,126,96,50,574,10,19,25,20,164,48,1242,68,12,123,76,53,47,608,157,21,0,204,371
Halorubraceae,126,34,0,31,0,206,185,175,164,123,48,216,0,13,26,15,333,47,871,126,12,396,53,40,0,322,131,21,0,313,295
Haloferacaceae,95,22,0,59,20,29,128,35,85,20,20,100,0,0,26,13,67,27,1024,45,0,60,36,18,22,142,72,21,0,108,223
Natrialbaceae,154,49,0,128,22,270,364,355,238,73,67,821,26,16,65,20,387,64,1491,182,25,436,137,35,42,849,215,32,0,238,717
Methanosarcinaceae,361,82,0,58,81,66,46,58,604,444,167,26,31,29,28,32,355,12,80,22,48,200,67,494,82,29,129,133,0,88,91
Methanotrichaceae,107,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
Methanomicrobiaceae,45,0,0,0,0,49,20,0,29,28,20,15,0,0,0,0,60,137,43,0,0,51,20,53,0,20,39,27,0,46,73
Methanospirillaceae,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,17,0,0,0,0,11,0,23,0,0,0,0,0,0,10
Methanocellaceae,21,0,0,48,28,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Methanobacteriaceae,818,95,0,27,72,72,41,67,358,476,143,34,34,32,27,32,327,10,55,91,44,130,117,482,162,34,143,183,0,101,64
Methanococcaceae,345,75,0,41,59,44,12,36,515,523,114,0,23,36,0,11,375,0,82,14,26,117,55,488,45,15,95,52,0,98,0
Methanocaldococcaceae,229,63,0,21,51,52,14,36,411,376,70,0,26,20,0,0,372,0,37,0,0,146,32,492,71,15,81,79,0,122,42
Thermococcaceae,101,24,0,31,18,45,36,30,65,75,49,0,14,0,13,17,115,0,51,24,23,109,38,61,56,28,87,28,0,97,138
Archaeoglobaceae,18,0,0,0,19,87,0,51,27,32,12,0,0,0,0,0,111,0,0,0,0,127,15,50,0,0,16,0,0,0,33
Sulfolobaceae,302,159,0,62,126,75,34,72,818,1187,183,15,49,65,22,20,770,10,52,0,48,263,88,1143,57,41,186,110,0,177,56
Thermoproteaceae,204,34,0,0,29,10,0,28,207,304,39,0,13,15,0,0,190,0,10,15,10,43,21,173,16,15,0,20,0,38,19
Fervidicoccaceae,26,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
Thermofilaceae,25,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,15,0,0,16,0,0,0,0,0,0
Desulfurococcaceae,21,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
Nitrosopumilaceae,421,111,0,42,80,0,0,60,767,1133,194,0,29,66,0,18,662,23,45,12,26,159,55,584,124,20,68,100,0,112,17
Nitrososphaeraceae,123,49,0,0,46,0,0,12,111,174,35,0,0,12,0,0,101,0,34,10,0,79,18,177,28,13,84,43,0,52,0
Herelleviridae,280,45,0,14,0,22,0,0,68,473,18,0,0,0,0,0,37,0,10,16,0,29,0,197,58,131,0,0,0,20,0
Siphoviridae,84,334,0,11,23,0,22,10,107,159,32,10,16,11,0,0,91,15,0,10,0,46,77,154,14,55,0,142,0,50,49
Myoviridae,81,547,0,0,0,0,0,0,35,152,787,0,0,0,0,0,152,4120,0,0,0,0,14,70,0,0,0,10,0,0,0
Phycodnaviridae,142,10,0,0,45,11,0,10,0,26,26,0,0,0,0,0,11,24,0,0,0,0,15,18,0,0,0,0,0,0,0
Mimiviridae,93,22,0,0,14,0,0,0,69,89,20,0,0,0,0,0,37,0,0,0,0,29,0,119,0,0,16,39,0,22,0
Poxviridae,273,16,0,0,0,0,37,10,86,130,12,0,0,0,0,0,65,0,0,0,0,32,0,149,30,0,0,12,0,13,0
