Genus,Species,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Thermococcus,Thermococcus camini,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermococcus,Thermococcus celer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Thermococcus,Thermococcus indicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,42,0,0,0,0,0,0,0,0,0
Thermococcus,Thermococcus pacificus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
Thermococcus,Thermococcus profundus,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Thermococcus,Thermococcus siculi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Thermococcus,Thermococcus sp.,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,12,0,0,12,0
Thermococcus,Thermococcus sp.,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
Thermocrinis,Thermocrinis albus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Thermocrinis,Thermocrinis ruber,0,0,0,0,0,30,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermodesulfatator,Thermodesulfatator indicus,0,0,0,0,0,20,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
Thermodesulfobacterium,Thermodesulfobacterium commune,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,20,0,0,0,0,0,0,0,14,0,16,16,0,0,0
Thermodesulfobacterium,Thermodesulfobacterium geofontis,52,12,0,0,0,15,0,0,49,56,15,0,0,0,0,0,47,0,31,0,12,19,11,56,0,0,22,20,0,24,24
Thermodesulfobacterium,Thermodesulfobacterium sp.,0,0,0,0,16,0,0,12,48,63,0,0,0,0,0,0,37,0,0,0,0,11,0,58,0,0,0,14,0,0,0
Thermodesulfobium,Thermodesulfobium acidiphilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,10,0,53,0,0,0,0
Thermodesulfobium,Thermodesulfobium narugense,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,10,0,11,0
Thermodesulfovibrio,Thermodesulfovibrio yellowstonii,30,24,0,15,23,17,0,0,164,169,28,0,0,14,0,0,97,0,0,0,0,35,18,146,14,0,77,29,0,14,0
Thermofilum,Thermofilum adornatum,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Thermogutta,Thermogutta terrifontis,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,12
Thermomicrobium,Thermomicrobium roseum,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,16,0,0,0,10,19,0,0,0,0
Thermomonas,Thermomonas aquatica,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Thermomonas,Thermomonas brevis,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,35,13,0,0,0,0,0,0,28,0,0,0,0
Thermomonas,Thermomonas carbonis,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,16,0,0,0,0
Thermomonas,Thermomonas sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermomonas,Thermomonas sp.,0,0,0,0,0,11,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,37,0,0,0,61
Thermomonas,Thermomonas sp.,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermomonospora,Thermomonospora amylolytica,13,11,0,13,0,0,134,44,12,14,11,61,0,0,0,0,0,16,514,16,0,17,0,0,0,93,17,0,0,43,62
Thermomonospora,Thermomonospora curvata,50,0,0,0,0,26,93,0,0,0,0,36,0,0,0,0,27,11,283,39,0,27,0,0,0,39,12,0,0,55,209
Thermophilibacter,Thermophilibacter immobilis,39,664,0,28,61,15,230,298,2825,37,905,49,0,97,522,0,263,21,0,0,33,133,639,22,0,48,3045,79,0,34,111
Thermoplasma,Thermoplasma volcanium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Thermoproteus,Thermoproteus uzoniensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Thermosediminibacter,Thermosediminibacter oceani,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,27,0,0,0,0,12,0,0,13,0,70,0,0,0,0
Thermosipho,Thermosipho africanus,348,109,0,55,99,23,0,42,608,846,120,0,27,52,0,0,524,0,33,19,26,147,55,606,44,20,18,69,0,110,0
Thermosipho,Thermosipho ferrireducens,114,51,0,14,40,0,0,16,269,376,70,0,21,20,0,0,266,0,30,0,11,62,18,292,20,0,0,36,0,48,20
Thermosipho,Thermosipho melanesiensis,233,0,0,0,0,0,0,0,49,37,31,0,0,0,0,0,46,0,10,0,0,17,10,108,26,0,0,12,0,0,0
Thermostichus,Thermostichus lividus,220,37,0,0,24,0,0,0,197,262,60,0,18,0,0,0,134,0,0,0,0,60,18,177,15,0,0,0,0,18,0
Thermosulfidibacter,Thermosulfidibacter takaii,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermosulfurimonas,Thermosulfurimonas marina,0,0,0,15,0,0,29,0,0,0,0,0,0,0,0,0,26,0,0,0,0,10,0,0,0,0,0,0,0,49,59
